artist,intro,highlights
Katy Perry,"Katheryn Elizabeth Hudson (born October 25, 1984), known professionally as Katy Perry, is an American singer, songwriter and television personality. She is known for her influence on modern pop music and her camp style, being dubbed the ""Queen of Camp"" by Vogue and Rolling Stone. At 16, Perry released a gospel record titled Katy Hudson (2001) under Red Hill Records, which was commercially unsuccessful. She moved to Los Angeles at 17 to venture into secular music, and later adopted the stage name ""Katy Perry"" from her mother's maiden name. She recorded an album while signed to Columbia Records, but was dropped before signing to Capitol Records. 
Perry rose to fame with One of the Boys (2008), a pop rock record containing her debut single ""I Kissed a Girl"" and follow-up single ""Hot n Cold"", which reached number one and three on the U.S. Billboard Hot 100 respectively. The disco-influenced pop album Teenage Dream (2010) spawned five U.S. number one singles—""California Gurls"", ""Teenage Dream"", ""Firework"", ""E.T."", and ""Last Friday Night (T.G.I.F.)""—currently the only album by a female singer to do so. A reissue of the album titled Teenage Dream: The Complete Confection (2012) subsequently produced the U.S. number one single ""Part of Me"". Her empowerment-themed album Prism (2013) had two U.S. number one singles, ""Roar"" and ""Dark Horse"". Both their respective music videos made Perry the first artist to have multiple videos reach one billion views on Vevo and YouTube. The electropop album Witness (2017) featured themes of feminism and a political subtext, while Smile (2020) was influenced by her approaching motherhood and mental health journey. Afterwards, she embarked on her Las Vegas concert residency titled Play (2021–present), receiving critical acclaim and commercial success.
Perry is one of the best-selling music artists of all time, having sold over 143 million records worldwide. She has the most U.S. diamond certified singles for any female artist (4). All of her studio albums released under Capitol have individually surpassed one billion streams on Spotify. She has nine U.S. number one singles, three U.S. number one albums and has received various accolades, including a Billboard Spotlight Award (currently the only female artist to have one), four Guinness World Records, five Billboard Music Awards, five American Music Awards, a Brit Award, and a Juno Award. Perry has been included in the annual Forbes lists of highest-earning women in music from 2011 to 2019. Outside of music, she released an autobiographical documentary titled Katy Perry: Part of Me in 2012, voiced Smurfette in The Smurfs film series, and launched her own shoe line Katy Perry Collections in 2017. Perry began serving as a judge on American Idol during its sixteenth season in 2018. She is also the second most-followed woman and the sixth most-followed person on Twitter, with over 107 million followers.","Influential in modern pop music; Best-selling artist, over 143 million records sold; Nine U.S. number one singles, three U.S. number one albums; Multiple accolades including 4 Guinness World Records, 5 Billboard Music Awards; Part of Forbes highest-earning women in music 2011-2019."
Dua Lipa,"Dua Lipa (  DOO-ə LEE-pə, Albanian: [ˈdua ˈlipa]; born (1995-08-22)22 August 1995) is an  English and Albanian singer, songwriter and actress. Her mezzo-soprano vocal range and disco-influenced production have received critical acclaim and media coverage. She has received numerous accolades throughout her career including six Brit Awards, three Grammy Awards, and two Guinness World Records. She was included on the Time 100 Next list in 2021.
Lipa worked as a model before signing a recording contract with Warner Bros. Records in 2014. She rose to prominence with her eponymous debut album in 2017, which peaked at number three on the UK Albums Chart and spawned the successful singles ""Be the One"", ""IDGAF"", and the UK number-one single ""New Rules"". Lipa was honoured with the Brit Awards for British Female Solo Artist and British Breakthrough Act. Her second chart-topping single, ""One Kiss"" with Calvin Harris, was the longest-running number-one single by a female artist in 2018 and won the Brit Award for Song of the Year. In 2019, Lipa won the Grammy Award for Best New Artist, as well as the Grammy Award for Best Dance Recording for ""Electricity"", her collaborative single with Silk City.
Lipa's second album, Future Nostalgia (2020), became her first UK number-one album, and won the Brit Award for British Album of the Year and the Grammy Award for Best Pop Vocal Album. Its lead single, ""Don't Start Now"", was the year's most commercially successful song by a female artist in the US; ranking in the top-ten of the Billboard Hot 100 year-end chart. The album's success continued with the follow-up singles, ""Physical"", ""Break My Heart"", as well as ""Levitating"", which topped the Year-End Hot 100 chart of 2021. Both of Lipa's albums are the most-streamed female albums on Spotify, with over 10 billion streams each. Lipa subsequently scored her third and fourth UK number-one singles, with the 2021 Elton John duet ""Cold Heart (Pnau remix)"" and ""Dance the Night"" from the soundtrack of the film Barbie (2023), where she also made her acting debut.

","English and Albanian singer, songwriter, and actress; Numerous accolades including six Brit Awards, three Grammy Awards, and two Guinness World Records; Noted for her mezzo-soprano vocal range and disco-influenced production; Achieved commercial success with singles like ""Be the One"", ""New Rules"", and ""Don't Start Now""; Both of her albums are the most-streamed female albums on Spotify with over 10 billion streams each."
Sia,"Sia Kate Isobelle Furler ( SEE-ə; born 18 December 1975) is an Australian singer and songwriter. Born and raised in Adelaide, she started her career as a singer in the acid jazz band Crisp in the mid-1990s. When Crisp disbanded in 1997, she released her debut studio album, OnlySee, in Australia. She moved to London and provided vocals for the British duo Zero 7. Sia released her second studio album, Healing Is Difficult, in 2001, and her third, Colour the Small One, in 2004.
Sia moved to New York City in 2005 and toured the United States. Her fourth and fifth studio albums, Some People Have Real Problems and We Are Born, were released in 2008 and 2010 respectively, and both were certified gold by the Australian Recording Industry Association and attracted wider notice than her earlier albums. Uncomfortable with her growing fame, Sia took a hiatus from performing and focused on songwriting for other artists, producing successful collaborations ""Titanium"" (with David Guetta), ""Diamonds"" (with Rihanna), and ""Wild Ones"" (with Flo Rida).
In 2014, Sia broke through as a solo recording artist when her sixth studio album, 1000 Forms of Fear, debuted at No. 1 in the U.S. Billboard 200 and generated the top-ten single ""Chandelier"" and a trilogy of music videos co-directed by Sia and starring child dancer Maddie Ziegler. Since then, Sia has usually worn a wig that obscures her face to protect her privacy. Her seventh studio album, This Is Acting (2016), spawned her first Billboard Hot 100 number one single, ""Cheap Thrills"". That year she also began her Nostalgic for the Present Tour, which incorporated dancing by Ziegler and others, and other performance art elements. Her eighth studio album, Everyday Is Christmas, was released in 2017 and reissued in 2018 with three bonus tracks. In 2018, she formed a supergroup with Labrinth and Diplo acronymized as LSD, and they released their self-titled debut album in April 2019. Sia has written many songs for films, and she directed a feature film, titled Music, which was released in early 2021 alongside an album, Music – Songs from and Inspired by the Motion Picture.
She is an advocate for animal rights. Among the accolades received by Sia are nearly a dozen ARIA Awards, nine Grammy Award nominations and an MTV Video Music Award.

","Australian singer and songwriter; Started career in acid jazz band Crisp; Known for collaborations ""Titanium"", ""Diamonds"", and ""Wild Ones""; Broke through as a solo artist with album ""1000 Forms of Fear""; Animal rights advocate and multiple award winner"
Little Mix,"Little Mix are an English girl group, formed on the British version of The X Factor, and became the first group and only girl group to win the series. The line up consisted of Leigh-Anne Pinnock, Jade Thirlwall, Perrie Edwards, and previously Jesy Nelson, before her departure from the group in 2020. Regarded as the show's most successful winning act, their success led to a girl band renaissance in the UK. Little Mix's strong vocals and harmonies have garnered critical acclaim and the band are ranked as one of the best vocal girl groups. In 2022, the group went on an indefinite hiatus, allowing its members to pursue solo projects.Little Mix rose to prominence with their debut single ""Wings"" (2012), achieving five number-one singles, nineteen top ten enteries and becoming the first girl band to spend over a 100 weeks inside the top ten of the UK Singles Chart. The group were launched into mainstream recognition following the release of ""Black Magic"", becoming the first song by girl group since 2008 to spend multiple weeks at number one. It was ranked by Billboard as one of the ""Greatest Girl Group Songs of All Time"". On the UK Albums Chart, Little Mix became the first girl group to accumulate six top five entries, with their fourth studio album Glory Days, breaking chart records, and becoming the longest charting album by a girl group inside the 40 of the UK Charts. They have been named by Debrett's as one of the most influential people in the UK with a net worth of £60 million.The group achieved moderate success in America, and holds the record for the highest chart entry for a debut album by a UK girl group in the US on Billboard 200. Little Mix retained a popular following in Europe, South America, Oceania, Asia and other regions with Forbes, naming them as one of the most influential acts in Europe. They have sold over 28 million singles and 3.6 million albums in UK according to the Official Charts. Their music has also amassed over 15 billion streams worldwide, and gained popularity in South Korea, with Pitchfork, describing them as ""the girl group who have captured K-pop's spirit better than any other western girl group"". The group have sold over 3 million concert tickets, and performed in over 20 countries across their six tours, with the Confetti Tour, being their most critically acclaimed.The group’s accolades includes a Madame Tussauds figure, three Brit Awards (the first girl group to win British Group) seven MTV Europe Music Awards (the most wins for Best UK & Ireland Act), four Glamour Awards, a iHeartRadio Music Award, two Japanese Gold Disc Awards and three Guinness World Records. They have amassed a huge following of LGBTQ+ fans winning a British LGBT Award, an Attitude Award, and were named as Glamour's ""Women of the Year and Game-changers in music"". Often named as one of the greatest girl groups of all time, Little Mix have sold over 60 million records worldwide, becoming the second best-selling British female girl group in the UK, one of the best-selling girl groups of all time, and one of britain's biggest selling acts.

","English girl group formed on X Factor; Known for strong vocals and harmonies; Accumulated six top five entries on the UK Albums Chart; Sold over 60 million records worldwide; Successful particularly in the UK, the US, and South Korea."
Fifth Harmony,"Fifth Harmony, often shortened to 5H, is an American girl group based in Miami, composed of Ally Brooke, Normani, Dinah Jane, Lauren Jauregui, and Camila Cabello until her departure from the group in December 2016. The group signed a joint record deal with Simon Cowell's label Syco Records and L.A. Reid's label Epic Records after forming and were the last contestant eliminated in the second season of the American singing competition series The X Factor in 2012.
The group released their debut single ""Miss Movin' On"", preceding their extended play Better Together. In 2015, The group released their debut studio album Reflection, which was certified gold by the Recording Industry Association of America (RIAA). It spawned the singles ""Boss"", ""Sledgehammer"" and ""Worth It""; the latter of which was certified triple 
platinum by RIAA, and reached the top ten in thirteen countries. In 2016, the group released ""Work from Home"", the lead single from their second album 7/27, which peaked at number four on the Billboard Hot 100, making it the first top five single by a girl group in a decade on that chart. They released their self-titled third album in 2017. The group went on indefinite hiatus in March 2018, allowing its members to pursue solo projects.Fifth Harmony has sold nearly 15 million RIAA certified units, and are one of the best-selling girl groups of all time with a reported 33 million copies sold. They are known for their vocal range and songs with themes of female empowerment, self positivity, confidence, and unity. As of 2016, they have earned 1.6 billion on-demand streams, according to Nielsen SoundScan. Billboard named them the biggest girl group of the 2010s. In 2017, Time referred to them as arguably ""the biggest girl group in the world"".Fifth Harmony have earned the most top ten albums on the U.S. Billboard 200 for any girl group in the 21st century. Their accolades include an American Music Award, three MTV Europe Music Awards, three Guinness World Records, four MTV Video Music Awards, four iHeartRadio Music Awards, the first ever Billboard Women in Music Group of the Year award, a record five Nickelodeon Kids' Choice Awards (the most for a girl group), and ten Teen Choice Awards.

",American girl group; formed on The X Factor; known for female empowerment and self positivity themes; sold nearly 15 million RIAA certified units; named biggest girl group of the 2010s by Billboard.
Selena Gomez & The Scene,"Selena Gomez & the Scene was an American pop rock band from Los Angeles, California. Formed in 2008, its last lineup consisted of vocalist Selena Gomez, drummer Greg Garman, bassist Joey Clement, keyboardist Dane Forrest, and guitarist Drew Taubenfeld. The band released three studio albums, seven singles and nine music videos.
Their debut album, Kiss & Tell, was released on September 29, 2009, debuting at No. 9 on the US Billboard 200 and earning the band a Gold certification from the Recording Industry Association of America (RIAA) in March 2010. The second single from the album, ""Naturally"", reached the top thirty in the U.S., as well as the top twenty in New Zealand, the United Kingdom, Ireland, Canada, and Germany. The song has been certified Platinum in the U.S. and Canada. As of 2012, Kiss & Tell has sold over 900,000 copies in the U.S.
The band's second album, A Year Without Rain, was released on September 17, 2010, debuting at No. 4 on the U.S. Billboard 200 and earning the band a second RIAA Gold certification in January 2011. Two singles were released from the album, ""Round & Round"" and ""A Year Without Rain"". As of 2012, the album has sold over 800,000 copies in the U.S.
The band's third album, When the Sun Goes Down, was released on June 28, 2011, debuting at No. 4 on the U.S. Billboard 200. Its lead single ""Who Says"" received its radio premiere on On Air with Ryan Seacrest on March 8, 2011, followed by a music video premiere on Disney Channel on March 11. The song has been certified Platinum in the U.S. The second single from the album, ""Love You like a Love Song"", was released on June 17, 2011, and was certified 4× Platinum in the U.S. The third and final single from the album was ""Hit the Lights"". The band disbanded when Gomez began focusing on her acting career and solo music career.
The band has won numerous awards and accolades since their debut. They have won a total of four Poptastic Awards, including the Best Duo or Group Award. The band has also been nominated for five awards at the MuchMusic Video Awards, and two MTV Europe Music Awards. In 2011, the band won its first People's Choice Award for Breakout Group. In 2012, ""Love You Like a Love Song"" was nominated for an MTV Video Music Award, giving the band their first VMA nomination. The band has also won a total of six Teen Choice Awards since 2010, including Choice Music: Group and Choice Music: Love Song for ""Love You like a Love Song"".",American pop rock band; Formed in 2008; Released three studio albums; Disbanded focusing on Selena Gomez's solo career; Multiple award wins and nominations
Camila Cabello,"Karla Camila Cabello Estrabao (; Latin American Spanish: [ˈkaɾla kaˈmila kaˈβeʝo esˈtɾabao]; born March 3, 1997) is an American singer and songwriter. She rose to prominence as a member of the girl group Fifth Harmony, which became one of the best-selling girl groups of all time. While in Fifth Harmony, Cabello began to establish herself as a solo artist with the release of the collaborations ""I Know What You Did Last Summer"" with Shawn Mendes and ""Bad Things"" with Machine Gun Kelly, the latter reaching number four on the US Billboard Hot 100. She left the group in late 2016.
Her debut studio album, Camila (2018), reached number one on the US Billboard 200. The Latin music–influenced pop album was critically well-received and earned a Platinum certification from the RIAA. Its lead single ""Havana"" topped the charts in several countries, including Australia, the US and UK, and the follow-up single ""Never Be the Same"" reached the top ten in multiple countries. Cabello's 2019 duet with Mendes, ""Señorita"", became her second single to top the Billboard Hot 100. Her second studio album, Romance (2019), included her collab with Mendes and peaked at number 3 on the Billboard 200 chart, with the single ""My Oh My"" peaking at number 12 on the Hot 100, and inside the top ten in multiple countries.
In 2021, Cabello made her acting debut, starring as the title character from the film Cinderella. Cabello released her third studio album Familia in April 2022, with the lead single ""Don't Go Yet"" released in July 2021. The second single from Familia, ""Bam Bam"", reached the top five of the Billboard Global 200 Chart, Cabello's highest entry and peaked inside the top ten in several countries; it also peaked at 21 on the Billboard Hot 100. Familia peaked at number 10 on the Billboard 200, number 9 in the UK and number 6 in Canada.
Cabello has amassed billions of streams on music platforms, and ""Havana"" became the best-selling digital single of 2018, according to the International Federation of the Phonographic Industry (IFPI). Cabello's many awards include two Latin Grammy Awards, five American Music Awards, and one Billboard Music Award.","American singer and songwriter; former member of best-selling girl group Fifth Harmony; solo hits include ""Havana"" and ""Señorita""; two studio albums Camila (2018) and Romance (2019) charted on US Billboard 200; acting debut in 2021 with the film Cinderella."
P!nk,"Alecia Beth Moore Hart (born September 8, 1979), known professionally as Pink (stylized as P!nk), is an American singer, songwriter and actress.
During her teens, Pink was a member of the girl group Choice. Her first solo studio album, Can't Take Me Home (2000), was certified double-platinum in the United States. The R&B-influenced album spawned two Billboard Hot 100 top-ten songs: ""There You Go"" and ""Most Girls"". Pink gained further recognition with the collaborative single ""Lady Marmalade"" from the Moulin Rouge! soundtrack, which topped many charts worldwide. Pink refocused her sound to pop rock with her second studio album, Missundaztood (2001). The album sold more than 13 million copies worldwide and yielded the international hit songs ""Get the Party Started"", ""Don't Let Me Get Me"", and ""Just Like a Pill"".
Pink's third studio album, Try This (2003), sold significantly less than her second studio album, but earned her the Grammy Award for Best Female Rock Vocal Performance. She returned to the top of the charts with her fourth and fifth studio albums, I'm Not Dead (2006) and Funhouse (2008), which spawned the top-ten entries ""Who Knew"" and ""U + Ur Hand"" as well as the number-one single ""So What"". Pink's sixth studio album, The Truth About Love (2012), was her first Billboard 200 number-one album and spawned her fourth US number-one single, ""Just Give Me a Reason"". In 2014, Pink recorded a collaborative album, Rose Ave., with Canadian musician Dallas Green as the folk music duo You+Me. Her next studio albums, Beautiful Trauma (2017) and Hurts 2B Human (2019), both debuted at atop the Billboard 200 chart, with the former becoming the world's third best-selling album of the year. Her ninth and most recent studio album, Trustfall (2023), peaked at number 2 in the U.S.
Pink has been described as ""pop royalty"" for her distinctive raspy voice and acrobatic stage presence. She has sold over 135 million records worldwide (60 million albums and 75 million singles), making her one of the world's best-selling music artists. Her accolades include three Grammy Awards, two Brit Awards, a Daytime Emmy Award and seven MTV Video Music Awards (including the Michael Jackson Video Vanguard Award). In 2009, Billboard named Pink the Pop Songs Artist of the Decade. Pink was also the second-most-played female solo artist in the United Kingdom during the 2000s decade, behind only Madonna. VH1 ranked her 10th on its list of the 100 Greatest Women in Music, while Billboard gave her the Woman of the Year award in 2013. At the 63rd annual BMI Pop Awards, she received the BMI President's Award for ""her outstanding achievement in songwriting and global impact on pop culture and the entertainment industry.""

","American singer, songwriter, and actress; Part of girl group Choice in teens; Notable albums include ""Can't Take Me Home"", ""Missundaztood"", and ""The Truth About Love""; Sold over 135 million records worldwide; Won three Grammy Awards, two Brit Awards, and seven MTV Video Music Awards."
Bebe Rexha,"Bleta Rexha (Albanian pronunciation: [ˈblɛta ˈɾɛdʒa]; born August 30, 1989), known professionally as Bebe Rexha ( BEE-bee REK-sə), is an American singer and songwriter. After signing with Warner Records in 2013, Rexha received songwriting credits on Eminem's single ""The Monster"" (which later received the Grammy Award for Best Rap/Sung Performance) and has also contributed songwriting to songs recorded by Shinee, Selena Gomez, and Nick Jonas. Rexha released her debut extended play in 2015, I Don't Wanna Grow Up, which saw the moderate commercial success of the singles ""I Can't Stop Drinking About You"" and ""I'm Gonna Show You Crazy"".
Rexha released two additional extended plays in 2017, All Your Fault: Pt. 1 and All Your Fault: Pt. 2, which again saw the moderate success of the singles ""I Got You"" and ""The Way I Are (Dance with Somebody)"". Rexha has also seen success with several collaborations including ""Hey Mama"" with David Guetta, Nicki Minaj and Afrojack, ""Me, Myself & I"" with G-Eazy, ""In the Name of Love"" with Martin Garrix, and ""Meant to Be"" featuring Florida Georgia Line, the latter of which had large success as a country crossover single, peaking at number two on the Billboard Hot 100 chart in the United States. Rexha's debut studio album, Expectations (2018), reached number 13 on the Billboard 200 chart in the United States and saw the success of its lead single, ""I'm a Mess"", and brought Rexha two nominations for Best New Artist and Best Country Duo/Group Performance at the 61st Grammy Awards. Rexha released her second studio album, Better Mistakes, in 2021. In 2023, Rexha released her self-titled third studio album, Bebe, containing the David Guetta collaboration ""I'm Good (Blue)"", which peaked at number four on the Billboard Hot 100 and topped the charts in 22 countries.

","American singer and songwriter; signed with Warner Records in 2013; credited songwriter for Eminem, Shinee, Selena Gomez, and Nick Jonas; released debut studio album ""Expectations"" in 2018; hits include ""Me, Myself & I"" and ""Meant to Be""."
Ellie Goulding,"Elena Jane Goulding ( GOHL-ding; born 30 December 1986) is an English singer and songwriter. Her career began when she met record producers Starsmith and Frankmusik, and she was later spotted by Jamie Lillywhite, who became her manager and A&R. After signing to Polydor Records in July 2009, Goulding released her debut extended play, An Introduction to Ellie Goulding, later that year.Goulding released her debut studio album, Lights, in 2010; it debuted at No. 1 on the UK Albums Chart and has sold over 850,000 copies in the UK. In November 2010, the album was reissued as Bright Lights, spawning two singles: a cover of Elton John's ""Your Song"", which reached No. 2 on the UK Singles Chart; and ""Lights"", which peaked at No. 2 on the US Billboard Hot 100, becoming her highest-charting single to date. Goulding's second studio album, Halcyon, was released in 2012 and preceded by its lead single ""Anything Could Happen"". The album debuted at No. 2 on the UK Albums Chart, and topped the chart after 65 weeks. Halcyon Days, a repackaged edition of Halcyon, was released in 2013 and produced the single ""Burn"", which became her first No. 1 single in the UK. She released her third studio album, Delirium, in 2015, with ""On My Mind"" as the album's lead single. That year, she received her first Grammy Award nomination for Best Pop Solo Performance for her single ""Love Me like You Do"".In 2017, at the end of her Delirium World Tour, Goulding announced that she was going on indefinite hiatus. It was later revelead that she was dealing with an anxiety disorder, as well struggles with media scrutinity faced during that time over false claims on her personal life. During her five-year hiatus, Goulding released several stand-alone singles, including her cover of Joni Mitchell's ""River"", which would become her third UK No. 1 and was crowned as the last number one of the decade (10s) in the United Kingdom. After the hiatus, she released her fourth studio album, Brightest Blue (2020), which became her third album to top the UK Albums Chart, and her fourth consecutive RIAA–certified album. It spawned several singles, including the hits ""Close To Me"" (with Diplo & Swae Lee), ""Sixteen"" and ""Hate Me"" (with Juice Wrld), the latter became Goulding's 14th entry on the Hot 100, making her the British Female artist with most entries on the US Chart (record currently hold by Dua Lipa).In 2022, Goulding released the song ""Easy Lover"" featuring rapper Big Sean as the lead single of her fifth studio album. In March 2023, Goulding released her third collaboration with DJ Calvin Harris, titled ""Miracle"", the song debuted at number No. 3 on the UK Singles Chart, with the song entry Goulding made history as the British Female Solo Act with most entries in the UK, surpassing Dame Shirley Bassey, with a total of 35 chart entries. Her fifth studio album, Higher Than Heaven, was released on 7 April 2023.

","English singer and songwriter; Debut studio album ""Lights"" debuted at No.1 on the UK Albums Chart; ""Lights"" single peaked at No.2 on the US Billboard Hot 100; Received Grammy Award nomination for Best Pop Solo Performance; British Female artist with most entries on the US Chart."
