x,y,value
Fifth Harmony,Zara Larsson,1
Fifth Harmony,Rita Ora,1
Fifth Harmony,Selena Gomez,1
Fifth Harmony,Katy Perry,1
Fifth Harmony,Zendaya,1
Camila Cabello,Fifth Harmony,1
Fifth Harmony,Little Mix,1
Dua Lipa,Fifth Harmony,1
Fifth Harmony,Selena Gomez & The Scene,1
Fifth Harmony,Jessie J,1
Fifth Harmony,Hailee Steinfeld,1
DNCE,Fifth Harmony,1
Fifth Harmony,Meghan Trainor,1
Ellie Goulding,Fifth Harmony,1
Bebe Rexha,Fifth Harmony,1
Fifth Harmony,Iggy Azalea,1
Anne-Marie,Fifth Harmony,1
Cher Lloyd,Fifth Harmony,1
Alessia Cara,Fifth Harmony,1
Fifth Harmony,Lauren Jauregui,1
Fifth Harmony,Sofia Carson,1
Demi Lovato,Fifth Harmony,1
Fifth Harmony,Nick Jonas,1
