artist,intro,highlights
*NSYNC,"NSYNC (; also stylized as *NSYNC or 'N Sync) is an American vocal group and boy band formed by Chris Kirkpatrick in Orlando, Florida, in 1995 and launched in Germany by BMG Ariola Munich. The group consists of Chris Kirkpatrick, JC Chasez, Justin Timberlake, Lance Bass, and Joey Fatone. Their self-titled debut album was successfully released to European countries in 1997, and later debuted in the U.S. market with the single ""I Want You Back"".
After heavily publicized legal battles with their former manager Lou Pearlman and former record label Bertelsmann Music Group, the group's second album, No Strings Attached (2000), sold over one million copies in one day and 2.4 million copies in one week, which was a record for over fifteen years. NSYNC's first two studio albums were both certified Diamond by the Recording Industry Association of America (RIAA). Celebrity (2001) debuted with 1.8 million copies in its first week in the US. Singles such as ""Girlfriend"", ""Pop"", ""Gone"" and ""It's Gonna Be Me"" reached the top 10 in several international charts, with the last being a US Billboard Hot 100 number one. In addition to eight Grammy Award nominations, NSYNC performed at the World Series, the Super Bowl and the Olympic Games, and sang or recorded with Elton John, Stevie Wonder, Michael Jackson, Janet Jackson, Britney Spears, Phil Collins, Celine Dion, Aerosmith, Nelly, Lisa ""Left Eye"" Lopes, Mary J. Blige, country music band Alabama, and Gloria Estefan. NSYNC went on a hiatus in 2002, reuniting in 2023 to release the single ""Better Place"" for the film Trolls Band Together (2023).
Over the course of their hiatus, the five members reunited occasionally, including at the 2013 MTV Video Music Awards and to receive a star on the Hollywood Walk of Fame in 2018. The band completed five nationwide concert tours and has sold over 70 million records, becoming one of the best-selling boy bands of all time. Rolling Stone recognized their instant success as one of the Top 25 Teen Idol Breakout Moments of all time.

","American vocal group formed in 1995; Consists of Chris Kirkpatrick, JC Chasez, Justin Timberlake, Lance Bass, Joey Fatone; Set record for selling over one million copies of an album in one day; Received eight Grammy nominations; Sold over 70 million records, one of the best-selling boy bands of all time."
Miley Cyrus,"Miley Ray Cyrus ( MY-lee SY-rəs; born Destiny Hope Cyrus, November 23, 1992) is an American singer, songwriter, and actress. Dubbed the ""Pop Chameleon"", she has been recognized for her musical versatility and continual artistic reinventions. Cyrus has been referred to as the ""Teen Queen"" of the 2000s pop culture and regarded as one of the few examples of a child star who went on to have a successful career as an adult. Among her accolades are 19 Teen Choice Awards, four World Music Awards, three MTV Video Music Awards, two Billboard Music Awards, a People's Choice Award, a GLAAD Media Award, and eight Guinness World Records. She was ranked as the ninth-greatest Billboard 200 female artist of all time, and has been featured in listicles such as the Time 100 in 2008 and 2014, Forbes 30 Under 30 in 2014 and 2021, and Billboard's ""Greatest of All Time Artists"" in 2019.One of six siblings, Cyrus is the second daughter of country singer Billy Ray Cyrus. She emerged as a teen idol while portraying the titular character of the Disney Channel television series Hannah Montana (2006–2011). As Hannah Montana, she attained two number-one and three top-five soundtracks on the Billboard 200, and the U.S. Billboard Hot 100 top-ten single ""He Could Be the One."" Cyrus's initial solo career consisted of the teen-friendly pop rock U.S. number-one albums Meet Miley Cyrus (2007) and Breakout (2008); these releases contained the US top-ten singles ""See You Again"" and ""7 Things."" The extended play The Time of Our Lives (2009), peaked at number two in the U.S; its lead single ""Party in the U.S.A."" became one of the best-selling singles in the United States and was certified diamond by the RIAA. Cyrus also released the country pop ballad ""The Climb"", which peaked at number four. Trying to reinvent her image, she explored dance-pop in her third album, Can't Be Tamed (2010). The record received mixed reviews; however, its title track reached the top ten in the U.S.
Following a hiatus, Cyrus underwent a mature and provocative musical shift with the R&B and hip hop-infused Bangerz (2013), which became her fifth number-one album. Featuring the top-five single ""We Can't Stop"" and her first U.S. number-one ""Wrecking Ball"", it earned Cyrus her first Grammy Award nomination. She experimented with psychedelic music on her follow-up, the free album Miley Cyrus & Her Dead Petz (2015), embraced country pop on Younger Now (2017), which yielded the U.S. top-ten single ""Malibu"", and incorporated trap on the EP She Is Coming (2019). Cyrus explored rock on Plastic Hearts (2020), which topped the Billboard Top Rock Albums chart. Her next, Endless Summer Vacation (2023), was preceded by the lead single ""Flowers"", which set several streaming and chart records and marked her second U.S. number-one.
Outside of her music, Cyrus starred in the films Bolt (2008), Hannah Montana: The Movie (2009), The Last Song (2010), LOL (2012), and So Undercover (2013), and appeared in Guardians of the Galaxy Vol. 2 (2017). On television, she led and produced the documentary, Miley: The Movement (2013), served as a coach on the singing competition series The Voice (2016–2017), starred in the ""Rachel, Jack and Ashley Too"" episode from the Netflix series Black Mirror (2019), hosts the yearly NBC holiday special Miley's New Year's Eve Party (2021–present), and starred in and executive produced the Disney+ documentary concert special, Endless Summer Vacation (Backyard Sessions) (2023). In 2014, she founded the non-profit organization Happy Hippie Foundation, which was supported by the web video series Backyard Sessions (2012–2023).

","Recognized for musical versatility and continual artistic reinventions; Successful child star transitioned to adult career; Numerous accolades including 19 Teen Choice Awards, 4 World Music Awards, 3 MTV Video Music Awards; Successful solo career with multiple albums reaching number one and top-ten singles; Involved in acting with roles in films and television shows, founded a non-profit organization Happy Hippie Foundation."
Adele,"Adele Laurie Blue Adkins  (; born 5 May 1988), known mononymously  as Adele, is an English singer-songwriter. She is known for her powerful mezzo-soprano vocals and songwriting. Adele has received numerous accolades including 16 Grammy Awards, an Academy Award, a Primetime Emmy Award, and a Golden Globe Award. 
After graduating in arts from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and included the UK top-five singles ""Chasing Pavements"" and ""Make You Feel My Love"". 19 has sold over 2.5 million copies in the UK and was named in the top 20 best-selling debut albums of all time in the UK. Adele was honoured with the Grammy Award for Best New Artist.
Adele released her second studio album, 21, in 2011. It became the world's best-selling album of the 21st century, with sales of over 31 million. 21 holds the record for the top-performing album in US chart history, topping the Billboard 200 for 24 weeks, with the singles ""Rolling in the Deep"", ""Someone like You"", and ""Set Fire to the Rain"" heading charts worldwide, becoming her signature songs. The album received a record-tying six Grammy Awards, including Album of the Year. In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won her the Academy Award for Best Original Song.
Adele's third studio album, 25, was released in 2015, breaking first-week sales records in the UK and US. In the US, it remains the only album to sell over three million copies in a week. 25 earned her five Grammy Awards, including the Album of the Year. The lead single, ""Hello"", achieved huge success worldwide. Her fourth studio album, 30, released in 2021, contains the chart-topping and Grammy-winning single ""Easy on Me"". 25 and 30 became the best-selling albums worldwide, including the US and the UK, in 2015 and 2021, respectively. As of 2023, all of her studio albums, except 19, have topped the yearly best-selling albums chart worldwide in the 21st century.
Adele is one of the world's best-selling music artists, with sales of over 120 million records worldwide. She was named the best-selling artist of the 2010s decade in the US and worldwide, as well as the best-selling female artist of the 21st century in the UK. Her studio albums, 21 and 25 are certified Diamond in the US, the most of any artist who debuted in the 21st century.","Adele is an English singer-songwriter known for her powerful mezzo-soprano vocals; Has won numerous awards including 16 Grammy Awards, an Academy Award, a Primetime Emmy Award, and a Golden Globe Award; '21' and '25', two of her albums, became the world's best-selling albums of the 21st century; Her album '21' holds the record for the top-performing album in US chart history; She is one of the world's best-selling music artists, with sales of over 120 million records worldwide."
Gwen Stefani,"Gwen Renée Stefani (; born October 3, 1969) is an American singer and songwriter. She is a co-founder, lead vocalist, and the primary songwriter of the band No Doubt, whose singles include ""Just a Girl"", ""Spiderwebs"", and ""Don't Speak"", from their 1995 breakthrough studio album Tragic Kingdom, as well as ""Hey Baby"" and ""It's My Life"" from later albums.
During the band's hiatus, Stefani embarked on a solo pop career in 2004 by releasing her debut studio album Love. Angel. Music. Baby. Inspired by pop music from the 1980s, the album was a critical and commercial success. It spawned six singles, including ""What You Waiting For?"", ""Rich Girl"", ""Hollaback Girl"", and ""Cool"". ""Hollaback Girl"" reached number one on the Billboard Hot 100 chart while also becoming the first US download to sell one million copies. In 2006, Stefani released her second studio album, The Sweet Escape. Among the singles were ""Wind It Up"" and ""The Sweet Escape"", the latter of which was number three on the Billboard Hot 100 year-end chart of 2007. Her third solo album, This Is What the Truth Feels Like (2016), was her first solo album to reach number one on the Billboard 200 chart. Her fourth solo album and first full-length Christmas album, You Make It Feel Like Christmas, was released in 2017 and charted 19 tracks on Billboard's Holiday Digital Song Sales component chart in the United States. Stefani has released several singles with Blake Shelton, including ""Nobody but You"" (2020), which reached number 18 in the US.
Stefani has won three Grammy Awards. As a solo artist, she has received an American Music Award, a Brit Award, a World Music Award, and two Billboard Music Awards. In 2003, she debuted her clothing line L.A.M.B. and expanded her collection with the 2005 Harajuku Lovers line inspired by Japanese culture and fashion. Billboard magazine ranked Stefani the 54th most successful artist and 37th most successful Hot 100 artist of the 2000–2009 decade. VH1 ranked her 13th on their ""100 Greatest Women in Music"" list in 2012. Including her work with No Doubt, Stefani has sold more than 60 million records worldwide.","American singer and songwriter; co-founder, lead vocalist, and primary songwriter of the band No Doubt; embarked on a successful solo pop career with hits like ""Hollaback Girl""; debuted a clothing line inspired by Japanese culture and fashion; won three Grammy Awards and achieved various other accolades including an American Music Award, a Brit Award, and two Billboard Music Awards."
Tove Lo,"Ebba Tove Elsa Nilsson (born 29 October 1987), known professionally as Tove Lo (Swedish pronunciation: [ˈtûːvɛ ˈluː]), is a Swedish singer and songwriter. She has been called ""Sweden's darkest pop export"" by Rolling Stone. She is known for her raw, grunge-influenced take on pop music. Out  referred to her autobiographical lyrical content as making her ""the saddest girl in Sweden"".Raised in the Djursholm district of Danderyd, Lo is an alumna of the music school Rytmus Musikergymnasiet. She formed the rock band Tremblebee in 2006. After it disbanded, Lo pursued a career in songwriting and earned a publishing deal with Warner/Chappell Music in 2011. Working with producers Alexander Kronlund, Max Martin, and Xenomania, she became a successful songwriter, while also recording and releasing her own compositions independently.
In 2013, Lo was signed to Universal Music, Island and Polydor. The following year, Lo rose to prominence with her debut album, Queen of the Clouds, which opened at number 14 on the U.S. Billboard 200 chart in October 2014. It spawned the sleeper hit single ""Habits (Stay High)"", which peaked at number three on the US Billboard Hot 100, as well as ""Talking Body"". Her second album, Lady Wood, was released in October 2016 and debuted at number 11 on the Billboard 200. Its lead single, ""Cool Girl"", became an international hit. Her follow-up records, Blue Lips (2017) and Sunshine Kitty (2019), also performed well, the latter spawning the song ""Glad He's Gone"", which was nominated for a Grammy Award for Best Music Video. In 2022, she released the album Dirt Femme with singles like ""How Long"" and ""No One Dies from Love"". The former was part of the soundtrack for the second season of the American teen drama series Euphoria.
In addition to her solo work, Lo has co-written songs for other artists, including: Lorde's ""Homemade Dynamite"" (2017) and Ellie Goulding's ""Love Me like You Do"" (2015), a song that garnered her Grammy Award and Golden Globe nominations. She has collaborated with many artists, including Duran Duran, Charli XCX, Alesso, Flume, SG Lewis, Channel Tres, Nick Jonas, Seven Lions, Broods, Urban Cone, Ava Max, Dua Lipa, Kylie Minogue and Coldplay.","Swedish singer and songwriter known for her raw, grunge-influenced take on pop music; Achieved prominence with the debut album, Queen of the Clouds, which spawned hit singles like ""Habits (Stay High)""; Second album, Lady Wood, spawned international hit ""Cool Girl""; Co-writer of popular songs for other artists including Lorde's ""Homemade Dynamite"" and Ellie Goulding's ""Love Me like You Do""; Collaborated with numerous popular artists such as Duran Duran, Charli XCX, Nick Jonas, and Coldplay."
will.i.am,"William James Adams Jr. (born March 15, 1975), known professionally as will.i.am (pronounced ""will I am""), is an American rapper, singer, songwriter, actor, and record producer. He rose to prominence as the founder and lead member of the hip hop musical group Black Eyed Peas, which formed in Los Angeles in 1995.
As a solo artist, will.i.am has released four albums, beginning with Lost Change (2001), through Atlantic Records. His second solo outing, Must B 21, was released on September 23, 2003. The track ""Go!"" was regularly used as the theme for the NBA Live 2005 and Madden NFL 2005 seasons. The third album, Songs About Girls, was released on September 25, 2007. He released his fourth studio album, #willpower, in 2013.
As a music producer, will.i.am has worked for other artists including A. R. Rahman, Cheryl, Michael Jackson, Justin Bieber, Kesha, Britney Spears, Miley Cyrus, David Guetta, U2, Rihanna, Lady Gaga, Usher, Justin Timberlake, Nicki Minaj, 2NE1 and more. In collaborations and with the Black Eyed Peas, he has a total of 41 top-40 entries on the UK Singles Chart since 1998, and has sold 9.4 million singles in the UK.In addition to his music career, will.i.am has also been a judge and mentor on the television talent show series The Voice UK (2012–present), The Voice Australia (2014), and The Voice Kids (2017–2023). He is the recipient of seven Grammy Awards, a Latin Grammy Award, and a Daytime Emmy Award.

","American rapper, singer, songwriter, actor, and record producer; Founder and lead member of the hip hop group Black Eyed Peas; Released four solo albums; Worked as a music producer for numerous notable artists like Michael Jackson, Justin Bieber, Rihanna, Lady Gaga, Usher; Recipient of seven Grammy Awards, a Latin Grammy Award, and a Daytime Emmy Award."
Shawn Mendes,"Shawn Peter Raul Mendes (, Portuguese: [ˈmẽdɨʃ]; born August 8, 1998) is a Canadian singer-songwriter. He gained a following in 2013, when he posted song covers on the video sharing platform Vine. The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label. Mendes' self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015. Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18. The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada.
Mendes' second album Illuminate (2016) also debuted at number one in the US, with its singles ""Treat You Better"" and ""There's Nothing Holdin' Me Back"" reaching the top 10 in several countries. His self-titled third studio album (2018) was supported by the lead single ""In My Blood"". The album's number one debut in the US made Mendes the third-youngest artist to achieve three number one albums. In 2019, he released the hit singles ""If I Can't Have You"" and ""Señorita"", with the latter peaking atop the US Billboard Hot 100. His fourth studio album, Wonder (2020), made him the youngest male artist ever to top the Billboard 200 with four studio albums.Among his accolades, Mendes has won 13 SOCAN awards, 10 MTV Europe Music Awards, eight Juno Awards, eight iHeartRadio MMVAs, two American Music Awards, and received three nominations for a Grammy Award and one nomination for a Brit Award. In 2018, Time named him one of the 100 most influential people in the world on their annual list.","Canadian singer-songwriter; gained popularity through Vine in 2013; has released four studio albums, that all debuted at number one in the US; youngest male artist to top the Billboard 200 with four studio albums; has won numerous awards including MTV Europe Music Awards and Juno Awards."
Niall Horan,"Niall James Horan ( NY-uhl HOR-ruhn; born 13 September 1993) is an Irish singer-songwriter. He rose to prominence as a member of the boy band One Direction, formed in 2010 on the singing competition The X Factor. The group released five albums and went on to become one of the best-selling boy bands of all time. 
Following the band's hiatus in 2016, Horan signed a recording deal as a solo artist with Capitol Records and has since released three albums: Flicker (2017), Heartbreak Weather (2020) and The Show (2023). Flicker debuted at number one in Ireland and the US, and reached the top three  in Australia and the UK. The album's first two singles, ""This Town"" and ""Slow Hands"", reached the top twenty in several countries. Heartbreak Weather was released in March 2020, and debuted at number one in the UK, Ireland and Mexico, and at number four in the US.Horan's third studio album, titled The Show, was released in June 2023. It was preceded by the singles ""Heaven"" and ""Meltdown"", which were released in February and April 2023, respectively.","Irish singer-songwriter; Member of the boy band One Direction, one of the best-selling boy bands of all time; Signed a recording deal as a solo artist with Capitol Records; Released three successful albums: Flicker (2017), Heartbreak Weather (2020), and The Show (2023); His albums and singles consistently achieve high chart positions in several countries."
Selena Gomez,"Selena Marie Gomez ( sə-LEE-nə GOH-mez; born July 22, 1992) is an American singer, actress, businesswoman and producer. She has won numerous accolades, including an American Music Award, two MTV Video Music Awards, broke 16 Guinness World Records, and received nominations for two Grammy Awards, a Golden Globe Award, and four Emmy Awards. One of the most influential people on social media, Gomez is the most-followed woman on Instagram and one of the most-followed people on Twitter. She was included in the Time 100 in 2020, and was named Billboard's Woman of the Year in 2017.
Gomez began her career as a child actress, starring on the children's television series Barney & Friends (2002–2004). She rose to prominence and emerged as a teen idol, for her leading role as Alex Russo on the Disney Channel sitcom Wizards of Waverly Place (2007–2012). She signed with Hollywood Records in 2008. As the lead vocalist, she formed the pop rock band Selena Gomez & the Scene, and released three studio albums from 2009 to 2011; all of the band's albums and singles were certified gold or higher by the RIAA.
Her EDM and electropop-flavored debut solo album, Stars Dance (2013), topped the Billboard 200 and yielded the international top-ten song ""Come & Get It"". After signing with Interscope Records, Gomez released Revival (2015), which topped the Billboard 200 and produced three Billboard Hot 100 top-tens: ""Good for You"", ""Same Old Love"", and ""Hands to Myself"". Her third album, Rare (2020), was met with critical acclaim and topped the charts in 11 countries. Its lead single ""Lose You to Love Me"", became an international hit and Gomez's first number-one in the U.S. and Canada. Her first the Spanish-language and Grammy Award-nominated EP, Revelación, was released in 2021. Gomez has also appeared on several collaborations throughout her career, including: ""We Don't Talk Anymore"", ""It Ain't Me"", ""Taki Taki"", and ""Calm Down""—which charted high and achieved global commercial success.
Gomez has starred in multiple films, and voiced Mavis in the Hotel Transylvania film franchise (2012–2022). On television, she produced the Netflix series 13 Reasons Why (2017–2020) and documentary Living Undocumented (2019), and executive produced and starred in her cooking show Selena + Chef (2020–present). Gomez is an executive producer and main character in the mystery comedy series Only Murders in the Building (2021–present), for which she has received critical acclaim, a nomination for a Golden Globe Award for Best Actress, and as a producer for a Primetime Emmy Award .
Philanthrophically, Gomez works with various charity organizations, and has focused on raising awareness about mental health, gender, racial, and LGBT equality. She has been a UNICEF ambassador since 2009; for many years being the youngest. Gomez launched her cosmetics company Rare Beauty in 2020. She also founded the nonprofit, the Rare Impact Fund, which focuses on mental health awareness, and is committed to raising US$100 million over the next ten years.

","American singer, actress, businesswoman and producer; Won numerous awards including an American Music Award, MTV Video Music Awards, broke 16 Guinness World Records; Highly influential on social media, most-followed woman on Instagram, one of the most-followed on Twitter; Started career as child actress, became teen idol with role in Disney Channel's ""Wizards of Waverly Place"", led pop-rock band ""Selena Gomez & the Scene""; Active philanthropist focusing on mental health, gender, racial, and LGBT equality, UNICEF ambassador since 2009.
"
Jonas Brothers,"The Jonas Brothers () are an American pop rock band. Formed in 2005, they gained popularity from their appearances on the Disney Channel television network. They consist of three brothers: Kevin Jonas, Joe Jonas, and Nick Jonas. Raised in Wyckoff, New Jersey, the Jonas Brothers moved to Little Falls, New Jersey, in 2005, where they wrote their first record that made its Hollywood Records release. They starred in the 2008 Disney Channel Original Movie Camp Rock and its 2010 sequel, Camp Rock 2: The Final Jam. They also starred in their own Disney Channel series Jonas, which was rebranded as Jonas L.A. for its second season. The band has released six albums: It's About Time (2006), Jonas Brothers (2007), A Little Bit Longer (2008), Lines, Vines and Trying Times (2009), Happiness Begins (2019), and The Album (2023).
In 2008, the group was nominated for the Best New Artist award at the 51st Grammy Awards and won the award for Breakthrough Artist at the American Music Awards. Before the release of Lines, Vines and Trying Times, they had sold over eight million albums worldwide. After a hiatus between 2010 and 2011 to pursue solo projects, the group reunited in 2012 to record a new album, which was cancelled following their break-up on October 29, 2013.
They have sold over 17 million albums worldwide as of 2013. Six years following their split, the group reunited with the release of ""Sucker"" on March 1, 2019. The song became the 34th song in history to debut at number one on the Billboard Hot 100, and became the Jonas Brothers' first number one single on the chart. Their fifth studio album, Happiness Begins, was released on June 7, 2019, topping the US Billboard 200.The brothers released their sixth studio album, The Album, on May 12, 2023, preceded by two singles, ""Waffle House"" and ""Wings"". The 12-track record was produced by Jon Bellion.

",American pop rock band formed in 2005; Gained popularity through Disney Channel appearances; Their songs have topped the Billboard Hot 100 and US Billboard 200; Released six studio albums and sold over 17 million albums worldwide as of 2013; Starred in their own Disney Channel series and movies
