x,y,value
Jessie J,Nicole Scherzinger,1
Bebe Rexha,Clean Bandit,1
Katy Perry,Miley Cyrus,1
Clean Bandit,Ellie Goulding,1
Dua Lipa,Selena Gomez,1
Britney Spears,Sia,1
Avril Lavigne,The Pussycat Dolls,1
Dua Lipa,Katy Perry,1
Christina Aguilera,Meghan Trainor,1
Fergie,Kelly Clarkson,1
3OH!3,Kesha,1
Jessie J,Pixie Lott,1
Alessia Cara,Bebe Rexha,1
Avril Lavigne,Paramore,1
Jessie J,Katy Perry,1
Camila Cabello,Meghan Trainor,1
Gwen Stefani,Lady Gaga,1
Kelly Clarkson,Kesha,1
Dua Lipa,Miley Cyrus,1
Demi Lovato,Sia,1
Katy Perry,Kesha,1
Anne-Marie,Camila Cabello,1
Selena Gomez,Zara Larsson,1
Jessie J,Miley Cyrus,1
Fifth Harmony,Zara Larsson,1
Fifth Harmony,Rita Ora,1
Ariana Grande,Selena Gomez,1
*NSYNC,Britney Spears,1
Little Mix,Niall Horan,1
Gwen Stefani,Kesha,1
Ariana Grande,Dua Lipa,1
Bebe Rexha,Little Mix,1
Christina Aguilera,JoJo,1
Camila Cabello,Sia,1
Fifth Harmony,Selena Gomez,1
Avril Lavigne,Lady Gaga,1
Lady Gaga,Rihanna,1
Emily Osment,Selena Gomez & The Scene,1
Fifth Harmony,Katy Perry,1
Leona Lewis,P!nk,1
Kesha,P!nk,1
Nick Jonas & The Administration,Selena Gomez & The Scene,1
Lady Gaga,P!nk,1
Miley Cyrus,Sia,1
Avril Lavigne,Britney Spears,1
Christina Aguilera,Jordin Sparks,1
Avril Lavigne,Lindsay Lohan,1
Britney Spears,Nelly Furtado,1
Fergie,Lady Gaga,1
Ellie Goulding,Zara Larsson,1
Ellie Goulding,Rita Ora,1
Avril Lavigne,Kesha,1
Kelly Clarkson,P!nk,1
Iggy Azalea,Kesha,1
Ellie Goulding,Zedd,1
Camila Cabello,Little Mix,1
Jessie J,Meghan Trainor,1
Bebe Rexha,Rita Ora,1
Katy Perry,P!nk,1
Kelly Clarkson,Leona Lewis,1
Hilary Duff,Selena Gomez & The Scene,1
Clean Bandit,Sia,1
